sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015,sbt1_2016,sbt1_2017,sbt1_2018,sbt1_2019,sbt1_2020,sbt1_2021,sbt1_2022,sbt1_2023
36.3197,14.948,24.2196,27.4707,31.5328,11.2936,9.74811,18.7078,18.9654,23.5439,25.3595,42.0778,26.7076,13.5086,10.1849,5.36213,6.91245,7.61246,10.7894,17.3484,20.1338,23.4903,31.1454,31.3457,34.7422,27.2724,22.7335,14.9935,26.7094,53.5691,58.7956,58.1426,45.9724,32.9358,34.9142,31.6976,35.1397,48.7228,36.7541,27.7301,25.6803,34.8154,32.4416,26.3141,18.9139,22.6722,33.161,37.7083,35.2832,32.7395,25.3909,22.9155,24.8466,18.736,13.3579,7.19477,5.67553,5.22104,7.13234,8.31916,9.34039,9.42112,15.2499,17.743,24.3221,24.8137,25.2581,29.408,41.5782,34.9835,27.1503,26.2772,26.0165
37.3819,17.2484,27.9338,29.3437,33.9787,14.4451,8.13627,13.7544,14.1129,18.9571,20.5098,34.9084,23.1436,12.1597,10.8336,4.9069,4.76726,4.69535,7.06193,13.7523,18.0894,22.677,31.2274,33.2368,37.7822,31.4616,30.3787,21.565,36.1417,64.8118,61.73,52.706,36.6847,23.5609,24.0126,23.2047,27.5317,40.8391,32.666,27.051,29.8377,45.3077,41.2165,34.6079,25.581,30.9433,44.2303,43.9804,36.9163,30.8733,21.9136,20.0993,20.7191,15.2425,11.7112,6.57551,5.76981,6.02938,9.27706,11.075,11.8829,11.0639,16.3284,16.2587,19.2642,17.6578,16.1454,17.8815,27.8814,24.4424,22.2611,32.5305,43.646
51.1205,27.4486,36.7473,38.5117,42.2503,18.4335,12.3222,20.6836,18.2613,23.7008,29.5809,43.9089,30.4729,19.5354,14.0999,6.43366,9.73032,10.6503,12.3745,18.9663,22.9186,25.8202,32.0485,31.9813,36.8747,31.2429,27.9191,20.7755,38.5173,76.4881,79.6309,74.2937,55.9754,40.4193,40.7686,36.9098,41.3646,57.3135,42.6646,31.9087,31.4291,42.7556,37.9937,30.4549,21.3727,24.7652,34.7222,36.5929,31.7585,27.7546,20.1265,18.8139,21.4949,15.7262,11.2525,7.23089,6.83145,6.57568,9.25275,9.76597,9.5205,8.74791,12.1023,12.9161,16.8888,17.7581,19.012,24.681,41.9312,38.8433,32.2763,30.2738,29.5111
51.709,28.7316,39.4452,38.8469,42.4585,18.3463,11.105,18.3342,20.5547,23.5172,27.1791,44.4345,28.8059,14.6397,6.46173,5.91222,8.14508,8.63167,11.608,18.3616,21.4567,25.301,31.9153,31.8886,34.4567,26.6892,22.8043,15.4957,27.8946,55.1248,57.5711,53.9671,40.7467,28.9372,30.1189,28.2809,33.8405,50.1865,38.2352,29.5489,30.6293,46.4412,41.9064,33.629,23.6985,27.7133,37.2753,38.9164,33.6577,28.5233,20.786,18.8798,21.7101,15.7158,10.7429,6.31233,5.58797,5.33239,7.48597,8.61383,8.97132,9.032,14.4687,15.9393,21.2388,21.8217,22.5744,25.1709,34.9661,30.5607,25.078,22.55,20.763
39.0583,16.5645,25.9657,28.8467,35.4643,15.3702,9.975,19.4481,22.1736,26.6531,24.2526,40.6487,27.2087,12.5578,7.63428,6.74584,8.54907,7.94075,10.41,17.4062,20.8382,24.6765,32.4765,33.1527,35.8718,29.0376,26.0519,19.3384,32.1969,59.7179,62.7562,59.0946,45.6487,33.403,36.9451,37.0046,43.4647,59.2004,44.9062,33.6963,32.4854,43.9931,35.8153,27.4832,17.5948,20.7231,31.6053,35.3598,32.3327,31.4295,26.4239,27.0572,31.79,23.9194,17.7321,9.63716,6.71271,5.35522,7.06404,8.3337,9.26161,9.40538,15.2857,16.8871,21.7818,21.8752,21.0879,21.6103,27.1088,21.6084,17.9862,19.2828,19.214
44.8984,22.3134,31.5307,30.7976,33.9209,14.5204,13.6954,22.6546,21.4042,25.6697,26.5131,39.6834,26.3811,14.0905,9.11019,6.73509,8.03722,6.4637,8.39438,15.5142,19.4261,22.155,27.9587,29.8707,33.8743,30.3489,29.7958,22.0073,38.5671,72.6597,69.4117,59.2833,41.7484,27.6555,28.8151,28.479,34.3958,52.2447,40.218,31.0574,29.734,41.0629,34.0221,26.5398,17.8771,19.8661,29.2691,32.097,28.5543,25.3847,20.6453,21.0641,25.9049,20.7187,16.6977,8.78955,6.5059,5.48565,7.22567,7.73666,8.04719,8.50203,14.5958,16.8624,21.7246,21.1941,19.684,22.5493,36.0577,33.2757,31.6416,41.6319,51.1898
44.8448,25.1944,34.0065,32.3448,36.5398,16.6312,10.541,16.9052,16.9079,21.5882,22.8587,36.8497,24.1947,10.247,5.16703,5.41217,6.43506,6.3676,8.79635,14.3561,17.35,20.2793,27.1296,28.7987,33.4459,28.2959,26.0881,19.6547,38.3487,78.6173,79.0235,69.7387,50.0447,34.122,33.7101,31.1054,36.5292,52.8619,40.7293,30.2421,29.1845,39.2315,32.3693,25.3888,16.5032,18.7591,27.3623,29.3669,26.3717,24.1402,19.4067,19.7712,24.8823,19.9328,15.9476,9.96865,8.25251,7.22389,9.59198,9.64046,9.07957,8.81451,13.8439,14.775,19.2079,20.0542,21.7695,27.1305,39.7161,33.9685,27.4581,22.5686,16.4011
45.255,26.7202,35.8711,32.384,37.234,13.0584,10.428,19.793,20.6984,24.1958,20.8387,33.9667,24.2117,13.4332,6.77552,6.45578,8.96973,8.60637,11.0132,18.0511,20.8783,23.8588,31.0532,31.3851,35.0603,27.6456,25.3154,15.7118,26.8368,53.8165,58.9344,57.9136,45.5843,33.1806,34.6887,32.8043,38.3136,56.2715,43.4967,33.2591,32.1903,45.7608,39.5701,32.1789,22.8414,26.5176,37.3151,40.1241,35.9355,31.6751,23.4159,21.6969,24.6076,18.1691,12.4103,6.41607,5.15115,5.00442,7.47043,8.19976,8.26484,8.47531,14.7837,16.3062,19.9055,20.5113,21.0559,25.0684,37.446,31.5088,25.1284,24.8071,23.4753
57.7917,30.2294,38.077,36.1936,36.3876,14.0383,9.0142,15.9181,22.5725,24.2368,22.4324,37.6835,26.7724,18.0113,18.0287,6.53922,6.67152,6.63208,9.60064,16.2258,20.0126,23.2576,29.1752,29.7755,33.4908,26.7486,23.7092,15.6343,28.94,58.8876,64.6078,63.7196,50.3846,37.1252,39.8341,36.2141,39.5346,55.0615,41.8379,32.4296,33.4871,48.2226,43.0235,34.3053,25.1792,29.9516,43.5684,47.5357,41.5195,36.2145,26.6116,23.4821,25.7572,18.9219,12.5519,7.17718,6.33472,6.19446,9.14069,10.3048,10.338,9.44343,13.5739,13.9652,17.2355,17.482,17.6971,19.1476,26.3841,21.3137,15.7548,13.0423,11.2381
44.3581,23.6735,34.8456,29.7655,33.0113,11.9319,11.7591,18.6741,17.5602,22.4945,20.5886,37.5911,27.792,20.6162,25.0699,7.5837,5.72817,8.32114,12.0695,18.7895,22.6464,24.8263,30.3022,30.5892,33.8408,27.9317,24.4339,16.4736,31.3295,62.2673,65.2077,62.0201,47.774,33.9697,36.6574,35.5935,42.3326,62.93,49.752,38.7858,38.7246,49.9936,43.1419,34.8009,25.0545,31.0151,44.0423,45.0945,38.1807,31.772,21.7177,19.914,23.1931,17.7352,12.7552,6.71442,5.6312,5.53653,8.25338,9.43372,9.78588,9.76608,15.7552,16.9697,21.1109,20.6073,20.2775,21.498,27.4048,20.7251,14.3587,13.0919,13.3139
